"practice_code","practice_name","overall_achievement","stia007_numerator","stia007_denominator","stia014_numerator","stia014_denominator","stia015_numerator","stia015_denominator","prop_stia007","prop_stia014","prop_stia015","imd_rank","total_patients","patients_65_plus","patients_female","prop_65_plus","prop_female","stroke_prevalence","imd_quintile","listsize_quintile","prevalence_quintile","age65_quintile","female_quintile"
"P82012","Octagon Medical Centre",0.96,80,80,72,89,29,32,1,0.808988764044944,0.90625,439,6103,991,2807,0.16237915779125,0.459937735539898,0.0131083073898083,5,2,3,3,1
"Y03366","Olive Family Practice",1,38,45,36,45,15,15,0.844444444444444,0.8,1,1671,5621,408,2682,0.0725849492972781,0.477139299057107,0.00800569293719979,5,2,2,1,1
"P82624","Orient House Medical Centre",0.966363636363636,37,38,27,36,12,14,0.973684210526316,0.75,0.857142857142857,2055,3548,353,1640,0.0994926719278467,0.462232243517475,0.0107102593010147,5,1,3,1,1
"P82006","Pike View, Dr Malhotra & Partners",1,141,143,106,133,51,57,0.986013986013986,0.796992481203007,0.894736842105263,16543,10123,1907,5184,0.188382890447496,0.512101155783859,0.0141262471599328,2,3,4,3,4
"P82002","Pikes Lane 1",0.962727272727273,99,99,80,99,41,48,1,0.808080808080808,0.854166666666667,1671,7294,1295,3489,0.177543186180422,0.478338360296134,0.0135727995612832,5,2,3,3,1
"P82609","Shanti Medical Centre",1,22,22,24,26,6,6,1,0.923076923076923,1,2051,6358,386,3035,0.0607109153821957,0.477351368354829,0.00346020761245675,5,2,1,1,1
"P82014","Spring House Surgery",0.974545454545455,102,102,64,75,62,65,1,0.853333333333333,0.953846153846154,25981,6514,1615,3198,0.247927540681609,0.490942585201105,0.0156585815167332,1,2,4,5,2
"P82613","Spring View Medical Centre",1,58,58,40,51,26,28,1,0.784313725490196,0.928571428571429,3930,5077,1008,2559,0.198542446326571,0.504037817608824,0.0114240693322828,5,1,3,3,3
"P82009","St Helens Road Practice",1,127,130,79,103,61,69,0.976923076923077,0.766990291262136,0.884057971014493,11214,7625,1414,3834,0.18544262295082,0.502819672131148,0.0170491803278689,3,2,4,3,3
"P82005","Stable Fold Surgery",1,106,106,78,94,51,56,1,0.829787234042553,0.910714285714286,17225,7144,1619,3628,0.226623740201568,0.507838745800672,0.0148376259798432,2,2,4,4,4
"P82008","Stonehill Medical Centre",1,200,201,169,198,74,77,0.995024875621891,0.853535353535353,0.961038961038961,7106,14861,2113,7503,0.142184240629836,0.504878541147971,0.0135253347688581,4,5,3,2,3
"P82004","Swan Lane Medical Centre",1,105,107,84,102,51,53,0.981308411214953,0.823529411764706,0.962264150943396,4300,9819,1169,4866,0.119054893573684,0.495569813626642,0.0108972400448111,5,3,3,2,2
"P82018","The Alastair Ross Medical Practice",1,85,85,65,75,25,26,1,0.866666666666667,0.961538461538462,3701,7343,1000,3734,0.136184120931499,0.508511507558219,0.0115756502791774,5,2,3,2,4
"P82001","The Dunstan Partnership",1,194,198,159,185,84,90,0.97979797979798,0.859459459459459,0.933333333333333,3701,10285,2036,5301,0.197958191541079,0.51541079241614,0.0192513368983957,5,4,5,3,5
"P82021","The Oaks Family Practice",0.94,118,121,75,100,52,62,0.975206611570248,0.75,0.838709677419355,10043,6994,1354,3599,0.19359450957964,0.51458392908207,0.0173005433228482,3,2,5,3,5
"P82011","Tonge Fold Health Centre",0.946363636363636,128,130,93,119,44,50,0.984615384615385,0.781512605042017,0.88,4965,6923,1444,3442,0.208580095334393,0.497183302036689,0.0187779864220714,4,2,5,4,2
"P82015","Unsworth Group Practice",1,321,329,256,293,128,144,0.975683890577508,0.873720136518771,0.888888888888889,30773,20343,4557,10309,0.224008258368972,0.506759081748021,0.016172639237084,1,5,4,4,4
"P82634","Wyresdale Road Surgery",1,47,47,49,60,18,20,1,0.816666666666667,0.9,2547,4190,589,2002,0.140572792362768,0.477804295942721,0.0112171837708831,5,1,3,2,1
"P83009","Blackford House Medical Centre",1,111,111,90,101,68,74,1,0.891089108910891,0.918918918918919,18097,7684,1971,3875,0.256507027589797,0.504294638209266,0.0144456012493493,2,3,4,5,3
"P83001","Fairfax Group Practice",1,152,153,116,140,75,85,0.993464052287582,0.828571428571429,0.882352941176471,9145,14121,2211,7211,0.156575313363076,0.51065788541888,0.0108349267049076,4,5,3,2,4
"P83620","Garden City Medical Centre",1,86,86,45,52,49,53,1,0.865384615384615,0.924528301886792,17739,5163,1412,2635,0.273484408289754,0.510362192523726,0.0166569823745884,2,1,4,5,4
"P83027","Greyland Medical Centre",0.292727272727273,5,9,5,9,7,8,0.555555555555556,0.555555555555556,0.875,6918,1819,415,857,0.228147333699835,0.471137987905443,0.00494777350192413,4,1,1,4,1
"P83621","Huntley Mount Medical Centre",1,46,46,40,47,14,15,1,0.851063829787234,0.933333333333333,1766,3133,489,1491,0.156080434088733,0.475901691669326,0.014682413022662,5,1,4,2,1
"P83024","Knowsley Medical Centre",1,48,48,52,69,14,15,1,0.753623188405797,0.933333333333333,3156,4545,742,2169,0.163256325632563,0.477227722772277,0.0105610561056106,5,1,2,3,1
"P83623","Longfield Medical Practice",1,57,58,41,51,24,26,0.982758620689655,0.803921568627451,0.923076923076923,9145,4912,863,2377,0.175692182410423,0.483916938110749,0.0118078175895765,4,1,3,3,1
"P83612","Mile Lane Health Centre",1,118,119,77,94,63,68,0.991596638655462,0.819148936170213,0.926470588235294,31179,5365,1313,2758,0.244734389561976,0.514072693383038,0.0221808014911463,1,2,5,5,5
"P83010","Monarch Medical Centre",1,37,38,37,45,12,13,0.973684210526316,0.822222222222222,0.923076923076923,6014,3686,611,1754,0.165762344004341,0.475854584915898,0.0103092783505155,4,1,2,3,1
